Type,Trans Date,Post Date,Description,Amount,Category,Memo
Sale,1/28/17,1/29/17,G.B. RUSSO &amp; SON,-65.83,null,null
Sale,1/28/17,1/30/17,ELLIS FIFTH THIRD BANK,-6.0,null,null
Sale,1/27/17,1/29/17,BP#9332735LAKE MICHIGAN,-1.96,null,null
Sale,1/27/17,1/29/17,GUITAR CENTER #338,-16.94,null,null
Sale,1/27/17,1/29/17,SHESHCO GRILL,-38.28,null,null
Sale,1/26/17,1/27/17,JIMMY JOHNS 684 - E-CO,-8.26,null,null
Sale,1/26/17,1/27/17,SPEEDWAY 03574 275,-30.73,null,null
Sale,1/25/17,1/27/17,MCDONALD'S M6324 OF MI,-7.19,null,null
Sale,1/25/17,1/26/17,STANDALE HI TONE CLEANERS,-18.8,null,null
Sale,1/25/17,1/27/17,MCDONALD'S M6324 OF MI,-2.52,null,null
Sale,1/25/17,1/26/17,SPEEDWAY 03574 275,-24.21,null,null
Sale,1/24/17,1/26/17,INK CARDS &amp; POSTAGRAM,-1.99,null,null
Sale,1/22/17,1/23/17,SPEEDWAY 03574 275,-3.87,null,null
Sale,1/21/17,1/23/17,BIG APPLE BAGELS,-3.34,null,null
Sale,1/21/17,1/22/17,G.B. RUSSO &amp; SON,-26.55,null,null
Sale,1/21/17,1/23/17,MEIJER #216        Q01,-29.0,null,null
Sale,1/21/17,1/22/17,FAMILY FARE 0339,-43.21,null,null
Sale,1/21/17,1/22/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,1/21/17,1/22/17,BIGGBY COFFEE #179,-4.55,null,null
Sale,1/20/17,1/22/17,MASTERCUTS,-13.0,null,null
Payment,1/20/17,1/20/17,Payment Thank You-Mobile,621.09,null,null
Sale,1/20/17,1/22/17,OLIVE GARDEN  00010884,-46.24,null,null
Sale,1/20/17,1/22/17,PAYPAL *PARKMOBILE,-3.05,null,null
Sale,1/19/17,1/22/17,LITTLE CAESARS 1436 0009,-3.7,null,null
Sale,1/18/17,1/19/17,REI.COM,-136.74,null,null
Sale,1/18/17,1/19/17,SPEEDWAY 03574 275,-21.04,null,null
Sale,1/18/17,1/19/17,HOPCAT,-15.67,null,null
Sale,1/17/17,1/18/17,FMLY FARE QUICK STOP #771,-34.14,null,null
Payment,1/15/17,1/15/17,Payment Thank You-Mobile,513.4,null,null
Sale,1/15/17,1/16/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,1/15/17,1/16/17,FAMILY FARE 0339,-53.89,null,null
Sale,1/14/17,1/15/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,1/14/17,1/16/17,ROSE'S,-10.52,null,null
Sale,1/14/17,1/15/17,G.B. RUSSO &amp; SON,-74.65,null,null
Sale,1/14/17,1/15/17,CHARMING CHARLIE INC,-57.24,null,null
Sale,1/13/17,1/15/17,WDMI DRY GOODS,-89.04,null,null
